wall_time,elapsed_s,frame,count,in_count,out_count,door_a_in,door_a_out,door_b_in,door_b_out,occupancy_pct,density
11:30:40,0.16,2,2,0,0,0,0,0,0,3,LOW
11:30:40,0.26,4,2,0,0,0,0,0,0,3,LOW
11:30:41,0.35,6,2,0,0,0,0,0,0,3,LOW
11:30:41,0.42,8,2,0,0,0,0,0,0,3,LOW
11:30:41,0.5,10,2,0,0,0,0,0,0,3,LOW
11:30:41,0.58,12,2,0,0,0,0,0,0,3,LOW
11:30:41,0.66,14,2,0,0,0,0,0,0,3,LOW
11:30:41,0.73,16,2,0,0,0,0,0,0,3,LOW
11:30:41,0.81,18,2,0,0,0,0,0,0,3,LOW
11:30:41,0.89,20,2,0,0,0,0,0,0,3,LOW
11:30:41,0.97,22,2,0,0,0,0,0,0,3,LOW
11:30:41,1.05,24,2,0,0,0,0,0,0,3,LOW
11:30:41,1.15,26,2,0,0,0,0,0,0,3,LOW
11:30:41,1.25,28,2,0,0,0,0,0,0,3,LOW
11:30:41,1.33,30,2,0,0,0,0,0,0,3,LOW
11:30:42,1.4,32,2,0,0,0,0,0,0,3,LOW
11:30:42,1.48,34,2,0,0,0,0,0,0,3,LOW
11:30:42,1.55,36,2,0,0,0,0,0,0,3,LOW
11:30:42,1.63,38,2,0,0,0,0,0,0,3,LOW
11:30:42,1.71,40,2,0,0,0,0,0,0,3,LOW
11:30:42,1.8,42,2,0,0,0,0,0,0,3,LOW
11:30:42,1.89,44,2,0,0,0,0,0,0,3,LOW
11:30:42,1.98,46,2,0,0,0,0,0,0,3,LOW
11:30:42,2.07,48,2,0,0,0,0,0,0,3,LOW
11:30:42,2.16,50,2,0,0,0,0,0,0,3,LOW
11:30:42,2.24,52,2,0,0,0,0,0,0,3,LOW
11:30:42,2.33,54,2,0,0,0,0,0,0,3,LOW
11:30:43,2.4,56,2,0,0,0,0,0,0,3,LOW
11:30:43,2.49,58,2,0,0,0,0,0,0,3,LOW
11:30:43,2.57,60,2,0,0,0,0,0,0,3,LOW
11:30:43,2.68,62,3,0,0,0,0,0,0,5,LOW
11:30:43,2.77,64,3,0,0,0,0,0,0,5,LOW
11:30:43,2.86,66,3,0,0,0,0,0,0,5,LOW
11:30:43,2.93,68,3,0,0,0,0,0,0,5,LOW
11:30:43,3.04,70,3,0,0,0,0,0,0,5,LOW
11:30:43,3.13,72,4,0,0,0,0,0,0,7,LOW
11:30:43,3.21,74,3,0,0,0,0,0,0,5,LOW
11:30:43,3.3,76,2,0,0,0,0,0,0,3,LOW
11:30:44,3.38,78,3,0,0,0,0,0,0,5,LOW
11:30:44,3.47,80,2,0,0,0,0,0,0,3,LOW
11:30:44,3.56,82,3,0,0,0,0,0,0,5,LOW
11:30:44,3.64,84,3,0,0,0,0,0,0,5,LOW
11:30:44,3.73,86,5,0,0,0,0,0,0,8,LOW
11:30:44,3.81,88,5,0,0,0,0,0,0,8,LOW
11:30:44,3.89,90,3,0,0,0,0,0,0,5,LOW
11:30:44,3.97,92,4,0,0,0,0,0,0,7,LOW
11:30:44,4.05,94,4,0,0,0,0,0,0,7,LOW
11:30:44,4.13,96,5,0,0,0,0,0,0,8,LOW
11:30:44,4.22,98,5,0,0,0,0,0,0,8,LOW
11:30:44,4.3,100,5,0,0,0,0,0,0,8,LOW
11:30:45,4.38,102,5,0,0,0,0,0,0,8,LOW
11:30:45,4.46,104,5,0,0,0,0,0,0,8,LOW
11:30:45,4.54,106,5,0,0,0,0,0,0,8,LOW
11:30:45,4.62,108,5,0,0,0,0,0,0,8,LOW
11:30:45,4.7,110,5,0,0,0,0,0,0,8,LOW
11:30:45,4.78,112,4,0,0,0,0,0,0,7,LOW
11:30:45,4.86,114,5,0,0,0,0,0,0,8,LOW
11:30:45,4.94,116,4,0,0,0,0,0,0,7,LOW
11:30:45,5.02,118,4,0,0,0,0,0,0,7,LOW
11:30:45,5.1,120,4,0,0,0,0,0,0,7,LOW
11:30:45,5.18,122,4,0,0,0,0,0,0,7,LOW
11:30:45,5.26,124,5,0,0,0,0,0,0,8,LOW
11:30:46,5.34,126,5,0,0,0,0,0,0,8,LOW
11:30:46,5.41,128,4,0,0,0,0,0,0,7,LOW
11:30:46,5.5,130,6,0,0,0,0,0,0,10,LOW
11:30:46,5.58,132,6,0,0,0,0,0,0,10,LOW
11:30:46,5.66,134,5,0,0,0,0,0,0,8,LOW
11:30:46,5.73,136,4,0,0,0,0,0,0,7,LOW
11:30:46,5.83,138,4,0,0,0,0,0,0,7,LOW
11:30:46,5.91,140,4,0,0,0,0,0,0,7,LOW
11:30:46,6.0,142,4,0,0,0,0,0,0,7,LOW
11:30:46,6.08,144,4,0,0,0,0,0,0,7,LOW
11:30:46,6.16,146,4,0,0,0,0,0,0,7,LOW
11:30:46,6.24,148,4,0,0,0,0,0,0,7,LOW
11:30:46,6.32,150,3,0,0,0,0,0,0,5,LOW
11:30:47,6.4,152,3,0,0,0,0,0,0,5,LOW
11:30:47,6.48,154,3,0,0,0,0,0,0,5,LOW
11:30:47,6.56,156,3,0,0,0,0,0,0,5,LOW
11:30:47,6.65,158,4,0,0,0,0,0,0,7,LOW
11:30:47,6.74,160,4,0,0,0,0,0,0,7,LOW
11:30:47,6.83,162,4,0,0,0,0,0,0,7,LOW
11:30:47,6.9,164,4,0,0,0,0,0,0,7,LOW
11:30:47,6.99,166,3,0,0,0,0,0,0,5,LOW
