wall_time,elapsed_s,frame,count,in_count,out_count,door_a_in,door_a_out,door_b_in,door_b_out,occupancy_pct,density
11:12:34,0.27,2,10,0,0,0,0,0,0,17,LOW
11:12:34,0.39,4,10,0,0,0,0,0,0,17,LOW
11:12:34,0.49,6,10,0,0,0,0,0,0,17,LOW
11:12:34,0.61,8,10,0,0,0,0,0,0,17,LOW
11:12:34,0.71,10,10,0,0,0,0,0,0,17,LOW
11:12:35,0.81,12,10,0,0,0,0,0,0,17,LOW
11:12:35,0.9,14,10,0,0,0,0,0,0,17,LOW
11:12:35,1.0,16,10,0,0,0,0,0,0,17,LOW
11:12:35,1.1,18,10,0,0,0,0,0,0,17,LOW
11:12:35,1.22,20,10,0,0,0,0,0,0,17,LOW
11:12:35,1.33,22,10,0,0,0,0,0,0,17,LOW
11:12:35,1.42,24,10,0,0,0,0,0,0,17,LOW
11:12:35,1.51,26,10,0,0,0,0,0,0,17,LOW
11:12:35,1.62,28,10,0,0,0,0,0,0,17,LOW
11:12:36,1.72,30,10,0,0,0,0,0,0,17,LOW
11:12:36,1.83,32,10,0,0,0,0,0,0,17,LOW
11:12:36,1.94,34,10,0,0,0,0,0,0,17,LOW
11:12:36,2.06,36,10,0,0,0,0,0,0,17,LOW
11:12:36,2.28,38,10,0,0,0,0,0,0,17,LOW
11:12:36,2.49,40,10,0,0,0,0,0,0,17,LOW
11:12:36,2.71,42,10,0,0,0,0,0,0,17,LOW
11:12:37,2.93,44,9,0,0,0,0,0,0,15,LOW
11:12:37,3.14,46,9,0,0,0,0,0,0,15,LOW
11:12:37,3.39,48,9,0,0,0,0,0,0,15,LOW
11:12:37,3.58,50,9,0,0,0,0,0,0,15,LOW
11:12:38,3.81,52,9,0,0,0,0,0,0,15,LOW
11:12:38,4.0,54,9,0,0,0,0,0,0,15,LOW
11:12:38,4.22,56,9,0,0,0,0,0,0,15,LOW
11:12:38,4.4,58,10,1,0,0,0,0,0,17,LOW
11:12:38,4.7,60,10,1,0,0,0,0,0,17,LOW
11:12:39,4.97,62,10,1,0,0,0,0,0,17,LOW
11:12:39,5.33,64,10,1,0,0,0,0,0,17,LOW
11:12:40,5.89,66,10,1,0,0,0,0,0,17,LOW
11:12:40,6.07,68,10,1,0,0,0,0,0,17,LOW
11:12:40,6.25,70,10,1,0,0,0,0,0,17,LOW
11:12:40,6.47,72,10,1,0,0,0,0,0,17,LOW
11:12:40,6.65,74,10,1,0,0,0,0,0,17,LOW
11:12:41,6.87,76,10,1,0,0,0,0,0,17,LOW
11:12:41,7.09,78,10,1,0,0,0,0,0,17,LOW
11:12:41,7.34,80,10,1,0,0,0,0,0,17,LOW
11:12:41,7.56,82,10,1,0,0,0,0,0,17,LOW
11:12:42,7.76,84,10,1,0,0,0,0,0,17,LOW
11:12:42,7.96,86,10,1,0,0,0,0,0,17,LOW
11:12:42,8.16,88,10,1,0,0,0,0,0,17,LOW
11:12:42,8.33,90,10,1,0,0,0,0,0,17,LOW
11:12:42,8.49,92,10,1,0,0,0,0,0,17,LOW
11:12:43,8.75,94,10,1,0,0,0,0,0,17,LOW
11:12:43,9.03,96,10,1,0,0,0,0,0,17,LOW
11:12:43,9.31,98,10,1,0,0,0,0,0,17,LOW
11:12:43,9.58,100,10,1,0,0,0,0,0,17,LOW
11:12:44,9.8,102,10,1,0,0,0,0,0,17,LOW
11:12:44,10.01,104,10,1,0,0,0,0,0,17,LOW
11:12:44,10.22,106,10,1,0,0,0,0,0,17,LOW
11:12:44,10.43,108,10,1,0,0,0,0,0,17,LOW
11:12:44,10.63,110,10,1,0,0,0,0,0,17,LOW
11:12:45,10.82,112,10,1,0,0,0,0,0,17,LOW
11:12:45,10.99,114,10,1,0,0,0,0,0,17,LOW
11:12:45,11.19,116,10,1,0,0,0,0,0,17,LOW
11:12:45,11.37,118,10,1,0,0,0,0,0,17,LOW
11:12:45,11.58,120,10,1,0,0,0,0,0,17,LOW
11:12:46,11.77,122,10,1,0,0,0,0,0,17,LOW
11:12:46,11.96,124,10,1,0,0,0,0,0,17,LOW
11:12:46,12.14,126,10,1,0,0,0,0,0,17,LOW
11:12:46,12.31,128,10,1,0,0,0,0,0,17,LOW
11:12:46,12.5,130,10,1,0,0,0,0,0,17,LOW
11:12:46,12.68,132,10,1,0,0,0,0,0,17,LOW
11:12:47,12.9,134,10,1,0,0,0,0,0,17,LOW
11:12:47,13.18,136,10,1,0,0,0,0,0,17,LOW
11:12:47,13.45,138,10,1,0,0,0,0,0,17,LOW
