wall_time,timestamp,frame,count,in_count,out_count,door_a_in,door_a_out,door_b_in,door_b_out,occupancy_pct,density
23:25:11,0.19,1,10,0,0,0,0,0,0,17,LOW
23:25:11,0.29,2,10,0,0,0,0,0,0,17,LOW
23:25:11,0.4,3,10,0,0,0,0,0,0,17,LOW
23:25:11,0.5,4,10,0,0,0,0,0,0,17,LOW
23:25:11,0.59,5,10,0,0,0,0,0,0,17,LOW
23:25:12,0.68,6,10,0,0,0,0,0,0,17,LOW
23:25:12,0.77,7,10,0,0,0,0,0,0,17,LOW
23:25:12,0.85,8,10,0,0,0,0,0,0,17,LOW
23:25:12,0.94,9,10,0,0,0,0,0,0,17,LOW
23:25:12,1.02,10,10,0,0,0,0,0,0,17,LOW
23:25:12,1.1,11,10,0,0,0,0,0,0,17,LOW
23:25:12,1.19,12,10,0,0,0,0,0,0,17,LOW
23:25:12,1.29,13,10,0,0,0,0,0,0,17,LOW
23:25:12,1.38,14,10,0,0,0,0,0,0,17,LOW
23:25:12,1.46,15,10,0,0,0,0,0,0,17,LOW
23:25:12,1.54,16,10,0,0,0,0,0,0,17,LOW
23:25:12,1.63,17,10,0,0,0,0,0,0,17,LOW
23:25:13,1.72,18,10,0,0,0,0,0,0,17,LOW
23:25:13,1.8,19,10,0,0,0,0,0,0,17,LOW
23:25:13,1.89,20,10,0,0,0,0,0,0,17,LOW
23:25:13,1.97,21,10,0,0,0,0,0,0,17,LOW
23:25:13,2.05,22,10,0,0,0,0,0,0,17,LOW
23:25:13,2.13,23,10,0,0,0,0,0,0,17,LOW
23:25:13,2.21,24,10,0,0,0,0,0,0,17,LOW
23:25:13,2.29,25,10,0,0,0,0,0,0,17,LOW
23:25:13,2.37,26,10,0,0,0,0,0,0,17,LOW
23:25:13,2.46,27,10,0,0,0,0,0,0,17,LOW
23:25:13,2.55,28,10,0,0,0,0,0,0,17,LOW
23:25:13,2.63,29,10,0,0,0,0,0,0,17,LOW
23:25:14,2.71,30,10,0,0,0,0,0,0,17,LOW
23:25:14,2.79,31,10,0,0,0,0,0,0,17,LOW
23:25:14,2.88,32,10,0,0,0,0,0,0,17,LOW
23:25:14,2.97,33,10,0,0,0,0,0,0,17,LOW
23:25:14,3.06,34,10,0,0,0,0,0,0,17,LOW
23:25:14,3.14,35,10,0,0,0,0,0,0,17,LOW
23:25:14,3.23,36,10,0,0,0,0,0,0,17,LOW
23:25:14,3.31,37,10,0,0,0,0,0,0,17,LOW
23:25:14,3.4,38,10,0,0,0,0,0,0,17,LOW
23:25:14,3.49,39,10,0,0,0,0,0,0,17,LOW
