wall_time,elapsed_s,frame,count,in_count,out_count,door_a_in,door_a_out,door_b_in,door_b_out,occupancy_pct,density
11:40:09,0.32,2,0,0,0,0,0,0,0,0,LOW
11:40:09,0.46,4,0,0,0,0,0,0,0,0,LOW
11:40:09,0.58,6,0,0,0,0,0,0,0,0,LOW
11:40:09,0.68,8,0,0,0,0,0,0,0,0,LOW
11:40:09,0.79,10,0,0,0,0,0,0,0,0,LOW
11:40:09,0.89,12,0,0,0,0,0,0,0,0,LOW
11:40:09,0.98,14,0,0,0,0,0,0,0,0,LOW
11:40:09,1.07,16,0,0,0,0,0,0,0,0,LOW
11:40:10,1.17,18,0,0,0,0,0,0,0,0,LOW
11:40:10,1.27,20,0,0,0,0,0,0,0,0,LOW
11:40:10,1.38,22,0,0,0,0,0,0,0,0,LOW
11:40:10,1.49,24,0,0,0,0,0,0,0,0,LOW
11:40:10,1.59,26,0,0,0,0,0,0,0,0,LOW
11:40:10,1.68,28,0,0,0,0,0,0,0,0,LOW
11:40:10,1.79,30,0,0,0,0,0,0,0,0,LOW
11:40:10,1.89,32,0,0,0,0,0,0,0,0,LOW
11:40:10,1.99,34,0,0,0,0,0,0,0,0,LOW
11:40:10,2.08,36,0,0,0,0,0,0,0,0,LOW
11:40:11,2.18,38,0,0,0,0,0,0,0,0,LOW
11:40:11,2.28,40,0,0,0,0,0,0,0,0,LOW
11:40:11,2.39,42,0,0,0,0,0,0,0,0,LOW
11:40:11,2.5,44,0,0,0,0,0,0,0,0,LOW
11:40:11,2.61,46,0,0,0,0,0,0,0,0,LOW
11:40:11,2.72,48,0,0,0,0,0,0,0,0,LOW
11:40:11,2.84,50,0,0,0,0,0,0,0,0,LOW
11:40:11,2.94,52,0,0,0,0,0,0,0,0,LOW
11:40:11,3.06,54,0,0,0,0,0,0,0,0,LOW
11:40:11,3.16,56,0,0,0,0,0,0,0,0,LOW
11:40:12,3.28,58,1,1,0,0,0,0,0,2,LOW
11:40:12,3.38,60,1,1,0,0,0,0,0,2,LOW
11:40:12,3.49,62,1,1,0,0,0,0,0,2,LOW
11:40:12,3.61,64,1,1,0,0,0,0,0,2,LOW
11:40:12,3.73,66,0,1,0,0,0,0,0,0,LOW
11:40:12,3.83,68,0,1,0,0,0,0,0,0,LOW
11:40:12,3.93,70,0,1,0,0,0,0,0,0,LOW
11:40:12,4.05,72,0,1,0,0,0,0,0,0,LOW
11:40:13,4.16,74,0,1,0,0,0,0,0,0,LOW
11:40:13,4.26,76,0,1,0,0,0,0,0,0,LOW
11:40:13,4.38,78,0,1,0,0,0,0,0,0,LOW
11:40:13,4.48,80,0,1,0,0,0,0,0,0,LOW
11:40:13,4.59,82,0,1,0,0,0,0,0,0,LOW
11:40:13,4.71,84,0,1,0,0,0,0,0,0,LOW
11:40:13,4.81,86,0,1,0,0,0,0,0,0,LOW
11:40:13,4.93,88,0,1,0,0,0,0,0,0,LOW
11:40:13,5.04,90,0,1,0,0,0,0,0,0,LOW
11:40:13,5.15,92,0,1,0,0,0,0,0,0,LOW
11:40:14,5.26,94,0,1,0,0,0,0,0,0,LOW
11:40:14,5.37,96,0,1,0,0,0,0,0,0,LOW
11:40:14,5.47,98,0,1,0,0,0,0,0,0,LOW
11:40:14,5.59,100,0,1,0,0,0,0,0,0,LOW
11:40:14,5.7,102,0,1,0,0,0,0,0,0,LOW
11:40:14,5.81,104,0,1,0,0,0,0,0,0,LOW
11:40:14,5.92,106,0,1,0,0,0,0,0,0,LOW
11:40:14,6.04,108,0,1,0,0,0,0,0,0,LOW
11:40:14,6.16,110,0,1,0,0,0,0,0,0,LOW
11:40:15,6.27,112,0,1,0,0,0,0,0,0,LOW
11:40:15,6.38,114,0,1,0,0,0,0,0,0,LOW
11:40:15,6.48,116,0,1,0,0,0,0,0,0,LOW
11:40:15,6.59,118,0,1,0,0,0,0,0,0,LOW
11:40:15,6.69,120,0,1,0,0,0,0,0,0,LOW
11:40:15,6.79,122,0,1,0,0,0,0,0,0,LOW
11:40:15,6.9,124,0,1,0,0,0,0,0,0,LOW
11:40:15,7.03,126,0,1,0,0,0,0,0,0,LOW
11:40:15,7.15,128,0,1,0,0,0,0,0,0,LOW
11:40:16,7.33,130,0,1,0,0,0,0,0,0,LOW
11:40:16,7.53,132,0,1,0,0,0,0,0,0,LOW
11:40:16,7.69,134,0,1,0,0,0,0,0,0,LOW
11:40:16,7.91,136,0,1,0,0,0,0,0,0,LOW
11:40:16,8.11,138,0,1,0,0,0,0,0,0,LOW
11:40:17,8.29,140,0,1,0,0,0,0,0,0,LOW
11:40:17,8.48,142,0,1,0,0,0,0,0,0,LOW
11:40:17,8.72,144,0,1,0,0,0,0,0,0,LOW
11:40:17,8.93,146,0,1,0,0,0,0,0,0,LOW
11:40:17,9.12,148,1,2,0,0,0,0,0,2,LOW
11:40:18,9.32,150,1,2,0,0,0,0,0,2,LOW
11:40:18,9.5,152,1,2,0,0,0,0,0,2,LOW
11:40:18,9.72,154,1,2,0,0,0,0,0,2,LOW
11:40:18,9.92,156,0,2,0,0,0,0,0,0,LOW
11:40:19,10.16,158,0,2,0,0,0,0,0,0,LOW
11:40:19,10.34,160,0,2,0,0,0,0,0,0,LOW
11:40:19,10.58,162,0,2,0,0,0,0,0,0,LOW
11:40:19,10.79,164,0,2,0,0,0,0,0,0,LOW
11:40:19,11.0,166,0,2,0,0,0,0,0,0,LOW
11:40:20,11.2,168,0,2,0,0,0,0,0,0,LOW
11:40:20,11.44,170,0,2,0,0,0,0,0,0,LOW
11:40:20,11.6,172,0,2,0,0,0,0,0,0,LOW
11:40:20,11.78,174,0,2,0,0,0,0,0,0,LOW
11:40:20,11.95,176,0,2,0,0,0,0,0,0,LOW
11:40:21,12.16,178,0,2,0,0,0,0,0,0,LOW
11:40:21,12.34,180,0,2,0,0,0,0,0,0,LOW
11:40:21,12.58,182,0,2,0,0,0,0,0,0,LOW
11:40:21,12.76,184,0,2,0,0,0,0,0,0,LOW
11:40:21,12.98,186,0,2,0,0,0,0,0,0,LOW
11:40:22,13.17,188,0,2,0,0,0,0,0,0,LOW
11:40:22,13.38,190,0,2,0,0,0,0,0,0,LOW
11:40:22,13.54,192,0,2,0,0,0,0,0,0,LOW
11:40:22,13.73,194,0,2,0,0,0,0,0,0,LOW
11:40:22,13.93,196,0,2,0,0,0,0,0,0,LOW
11:40:22,14.14,198,0,2,0,0,0,0,0,0,LOW
